"","service_id","service_description","service_schedule_name","service_schedule_type","service_schedule_typicality","rating_start_date","rating_end_date","rating_description"
"485","FLL 21-N-Wdy-5","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"486","FLL 21-N-Wdy-5-S6d","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"487","FLL 21-N-Wdy-5-S72","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"488","FLL 21-N-Wdy-5-S9d378dcf-MRRct","Weekday schedule (modified service)","Weekday (modified service)","Weekday",1,20211011,NA,"Fall"
"489","FLL 21-S-Sa-1","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"490","FLL 21-S-Sa-1-RdlSthStnFMT","Saturday schedule","Saturday","Saturday",4,20211011,NA,"Fall"
"491","FLL 21-S-Sa-1-S0f","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"492","FLL 21-S-Sa-1-S8f","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"493","FLL 21-S-Sa-1-Sb4","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"494","FLL 21-S-Sa-1-Sb6","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"495","FLL 21-S-Sa-1-Sc0","Saturday schedule","Saturday","Saturday",1,20211011,NA,"Fall"
"496","FLL 21-S-Su-1","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"497","FLL 21-S-Su-1-RdlSthStnFMT","Sunday schedule","Sunday","Sunday",4,20211011,NA,"Fall"
"498","FLL 21-S-Su-1-S0f","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"499","FLL 21-S-Su-1-S8f","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"500","FLL 21-S-Su-1-Sb4","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"501","FLL 21-S-Su-1-Sb6","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"502","FLL 21-S-Su-1-Sc0","Sunday schedule","Sunday","Sunday",1,20211011,NA,"Fall"
"503","FLL 21-S-Wdy-1","Weekday schedule","Weekday","Weekday",1,20211011,NA,"Fall"
"504","FLL 21-S-Wdy-1-S0f","Weekday schedule","Weekday","Weekday",1,20211011,NA,"Fall"
"505","FLL 21-S-Wdy-1-Sb4","Weekday schedule","Weekday","Weekday",1,20211011,NA,"Fall"
"506","FLL 21-S-Wdy-33","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"507","FLL 21-S-Wdy-BIKEADJ1-S8f","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"508","FLL 21-S-Wdy-BIKEADJ1-Sb6","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"509","FLL 21-S-Wdy-BIKEADJ1-Sc0","Weekday schedule (modified service)","Weekday (modified service)","Weekday",4,20211011,NA,"Fall"
"510","LRV222-hlb22016-Sa-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"511","LRV222-hlb22016-Sa-01-NwnHgsRvd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"512","LRV222-hlb22016-Sa-01-RsrRvd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"513","LRV222-hlb22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"514","LRV222-hlb22017-Su-01-NwnHgsRvd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"515","LRV222-hlb22017-Su-01-RsrRvd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"516","LRV222-hlm22016-Sa-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"517","LRV222-hlm22016-Sa-01-AstMtn","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"518","LRV222-hlm22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"519","LRV222-hlm22017-Su-01-AstMtn","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"520","MemorialDay","Holiday (Sunday schedule)","Holiday","Sunday",3,20220313,20220618,"Spring"
"521","PRIV222-hpj22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"522","RTL222-hmb22011-Wdy-01","Weekday schedule","Weekday","Weekday",1,20220313,20220618,"Spring"
"523","RTL222-hmb22011-Wdy-01-ArtBwnVGt","Weekday schedule","Weekday","Weekday",4,20220313,20220618,"Spring"
"524","RTL222-hmb22011-Wdy-01-OrtHgsWnd","Weekday schedule","Weekday","Weekday",4,20220313,20220618,"Spring"
"525","RTL222-hmb22016-Sa-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"526","RTL222-hmb22016-Sa-01-ArtBwnVGt","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"527","RTL222-hmb22016-Sa-01-OrtHgsWnd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"528","RTL222-hmb22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"529","RTL222-hmb22017-Su-01-ArtBwnVGt","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"530","RTL222-hmb22017-Su-01-OrtHgsWnd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"531","RTL222-hms22016-Sa-01","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"532","RTL222-hms22016-Sa-01-AlfHrd","Saturday schedule","Saturday","Saturday",4,20220313,20220618,"Spring"
"533","RTL222-hms22017-Su-01","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"534","RTL222-hms22017-Su-01-AlfHrd","Sunday schedule","Sunday","Sunday",4,20220313,20220618,"Spring"
"535","SpringSaturday","Saturday schedule","Saturday","Saturday",1,20220313,20220618,"Spring"
"536","SpringSunday","Sunday schedule","Sunday","Sunday",1,20220313,20220618,"Spring"
"537","SpringWeekday","Weekday schedule","Weekday","Weekday",1,20220313,20220618,"Spring"
"538","Boat-F1-Sa-Smr-22","Saturday schedule","Saturday","Saturday",1,20220528,NA,"Fall"
"539","Boat-F1-Su-Smr-22","Sunday schedule","Sunday","Sunday",1,20220528,NA,"Fall"
"540","Boat-F1-Wdy-Smr-22","Weekday schedule","Weekday","Weekday",1,20220528,NA,"Fall"
"541","Boat-F1-Wdy-Spr-22","Weekday schedule","Weekday","Weekday",1,20220401,20220527,"Fall"
"542","Boat-F4-Sa-Smr-22","Saturday schedule","Saturday","Saturday",1,20220528,NA,"Fall"
"543","Boat-F4-Sa-Spr-22","Saturday schedule","Saturday","Saturday",1,20220401,20220527,"Fall"
"544","Boat-F4-Su-Smr-22","Sunday schedule","Sunday","Sunday",1,20220528,NA,"Fall"
"545","Boat-F4-Su-Spr-22","Sunday schedule","Sunday","Sunday",1,20220401,20220527,"Fall"
"546","Boat-F4-Wdy-Smr-22","Weekday schedule","Weekday","Weekday",1,20220528,NA,"Fall"
"547","Boat-F4-Wdy-Spr-22","Weekday schedule","Weekday","Weekday",1,20220401,20220527,"Fall"
"548","CR-Newburyport-MidMayShuttle-Snd","Sunday schedule","Sunday","Sunday",4,20211011,NA,"Fall"
"549","CR-Newburyport-MidMayShuttle-Std","Saturday schedule","Saturday","Saturday",4,20211011,NA,"Fall"
"550","CR-Newburyport-MidMayShuttle-Wkd","Weekday schedule","Weekday","Weekday",4,20211011,NA,"Fall"
"551","EastBostonFerry-Snd","Sunday schedule","Sunday","Sunday",4,20220313,20220619,"Spring"
"552","EastBostonFerry-Std","Saturday schedule","Saturday","Saturday",4,20220313,20220619,"Spring"
"553","EastBostonFerry-Wkd","Weekday schedule","Weekday","Weekday",4,20220313,20220619,"Spring"
"554","FLL 21-N-Sa-24","Saturday schedule (modified service)","Saturday (modified service)","Saturday",4,20211011,NA,"Fall"
